ID   X             Y             Z              XYZ            Time          Activity
bla 9.24640655518 0.0616506934166 2.63302326202 -0.195810149058 1486381562.22 kalibrering x 
bla 9.42836666107 -0.000598550424911 1.85730195045 -0.200438678637 1486381562.51 kalibrering x 
bla 9.69172859192 0.0329202748835 1.29705882072 -0.0318075070933 1486381562.81 kalibrering x 
bla 9.79707336426 -0.0436941795051 1.01933133602 0.0400554342891 1486381563.09 kalibrering x 
bla 9.79707336426 -0.0436941795051 1.01933133602 0.0400554342891 1486381563.18 kalibrering x 
bla 9.59596061707 -0.0628477931023 0.478241801262 -0.201923957949 1486381563.42 kalibrering x 
bla 9.7348241806 -0.0580593906343 0.353743314743 -0.0685777705296 1486381563.7 kalibrering x 
bla 9.77791976929 0.00418985309079 0.540491044521 -0.0171524499412 1486381564.02 kalibrering x 
bla 9.79228496552 -0.014963760972 0.425569355488 -0.00846042520225 1486381564.33 kalibrering x 
bla 9.73003578186 -0.0389057770371 0.291494071484 -0.0755211351876 1486381564.62 kalibrering x 
bla 9.65820980072 0.0137666594237 0.325012892485 -0.146313361045 1486381564.9 kalibrering x 
bla 9.74440097809 -0.115520231426 0.502183794975 -0.0519836078446 1486381565.26 kalibrering x 
bla 9.72045898438 0.0377086773515 0.363320112228 -0.0826804146664 1486381565.55 kalibrering x 
bla 9.71088218689 -0.101155020297 0.478241801262 -0.0868225149257 1486381565.84 kalibrering x 
bla 9.77791976929 -0.0341173745692 0.262763649225 -0.0284907225307 1486381566.16 kalibrering x 
bla 9.67257499695 -0.115520231426 0.358531713486 -0.130093131386 1486381566.41 kalibrering x 
bla 9.68215179443 -0.0484825856984 0.415992558002 -0.118794515651 1486381566.73 kalibrering x 
bla 9.80665016174 -0.014963760972 0.411204129457 0.00527891325777 1486381567.03 kalibrering x 
bla 9.75397777557 -0.0436941795051 0.401627331972 -0.0476592898273 1486381567.34 kalibrering x 
bla 9.801861763 -0.0532709881663 0.463876575232 0.00297678057988 1486381567.64 kalibrering x 
bla 9.76355457306 -0.0341173745692 0.372896909714 -0.0392674787596 1486381567.95 kalibrering x 
bla 9.79707336426 -0.0101753575727 0.267552047968 -0.00926869356559 1486381568.25 kalibrering x 
bla 9.76355457306 -0.0293289702386 0.262763649225 -0.0428661919193 1486381568.57 kalibrering x 
bla 9.83059215546 -0.0389057770371 0.569221436977 0.0371350569963 1486381568.89 kalibrering x 
bla 9.75876617432 -0.014963760972 0.420780956745 -0.0421549063939 1486381569.19 kalibrering x 
bla 9.71567058563 -0.0389057770371 0.411204129457 -0.0855536186325 1486381569.48 kalibrering x 
bla 9.77791976929 0.0424970798194 0.329801291227 -0.0264275487885 1486381569.79 kalibrering x 
bla 9.7348241806 -0.000598550424911 0.291494071484 -0.0708126119667 1486381570.11 kalibrering x 
bla 9.75397777557 -0.0676361992955 0.267552047968 -0.052119021006 1486381570.38 kalibrering x 
bla 9.80665016174 -0.0676361992955 0.377685308456 0.00415346540374 1486381570.7 kalibrering x 
bla 9.75876617432 0.0472854822874 0.22445641458 -0.048538334662 1486381571.04 kalibrering x 
bla 9.84495735168 -0.0963666215539 0.444722980261 0.045468041215 1486381571.31 kalibrering x 
bla 9.8353805542 -0.000598550424911 0.468664973974 0.0365404006693 1486381571.59 kalibrering x 
bla 9.87368774414 -0.0101753575727 0.372896909714 0.0707320230825 1486381571.93 kalibrering x 
bla 9.74440097809 -0.10594342649 0.43035775423 -0.0555250152552 1486381572.22 kalibrering x 
bla 9.82580375671 -0.014963760972 0.454299777746 0.0263118935735 1486381572.5 kalibrering x 
bla 9.75876617432 -0.01975216344 0.459088176489 -0.0404212298209 1486381572.8 kalibrering x 
bla 9.7348241806 -0.00538695370778 0.358531713486 -0.0685742400766 1486381573.14 kalibrering x 
bla 9.74440097809 -0.0389057770371 0.310647666454 -0.0605709883127 1486381573.42 kalibrering x 
bla 9.70609378815 -0.0676361992955 0.43035775423 -0.0941346717656 1486381573.74 kalibrering x 
bla 9.801861763 -0.000598550424911 0.305859267712 -0.00336733272431 1486381574.01 kalibrering x 
