bla 59.66559331 10.7760269 0.0 13.0 146.0 0.0 1486222527.12 Unknown 
bla 59.66554037 10.77603571 1.17999994755 11.0 146.0 134.699996948 1486222637.14 tf gar 
bla 59.66548533 10.77597282 0.939999997616 13.0 141.0 134.699996948 1486222639.19 tf gar 
bla 59.66546294 10.77609119 0.800000011921 14.0 144.0 134.699996948 1486222640.22 tf gar 
bla 59.66543958 10.77614624 1.53999996185 15.0 143.0 134.699996948 1486222641.1 tf gar 
bla 59.66544514 10.77605859 0.519999980927 20.0 144.0 134.699996948 1486222643.14 tf gar 
bla 59.66541232 10.77600623 0.730000019073 33.0 144.0 134.699996948 1486222647.6 tf gar 
bla 59.66537618 10.77600174 0.879999995232 44.0 143.0 134.699996948 1486222652.12 tf gar 
bla 59.66522801 10.77604715 1.23000001907 35.0 144.0 134.699996948 1486222658.22 tf gar 
bla 59.66518815 10.77595899 1.50999999046 31.0 144.0 134.699996948 1486222660.25 tf gar 
bla 59.66523391 10.77606259 0.639999985695 18.0 143.0 134.699996948 1486222661.15 tf gar 
bla 59.66530294 10.77617041 2.3599998951 14.0 143.0 66.3000030518 1486222662.16 tf gar 
bla 59.66520941 10.7761683 1.84000003338 11.0 146.0 99.3000030518 1486222663.08 tf gar 
bla 59.66508039 10.77607138 1.21000003815 3.0 146.0 206.399993896 1486222680.44 ute gar 
bla 59.66503746 10.77605586 1.29999995232 3.0 147.0 215.100006104 1486222686.33 ute gar 
bla 59.66500409 10.77602628 1.22000002861 3.0 147.0 202.5 1486222689.08 ute gar 
bla 59.66496164 10.77601078 1.28999996185 3.0 146.0 187.899993896 1486222707.16 ute gar 
bla 59.66492381 10.77602323 1.47000002861 3.0 147.0 170.100006104 1486222707.26 ute gar 
bla 59.66488032 10.77606491 1.35000002384 3.0 146.0 147.399993896 1486222707.37 ute gar 
bla 59.66485129 10.77611297 1.21000003815 3.0 145.0 129.300003052 1486222707.46 ute gar 
bla 59.66482621 10.77616694 1.35000002384 3.0 145.0 135.0 1486222707.57 ute gar 
bla 59.66479786 10.77622117 1.37000000477 3.0 145.0 129.100006104 1486222708.11 ute gar 
bla 59.66474026 10.77630889 1.36000001431 3.0 144.0 154.199996948 1486222714.11 ute gar 
bla 59.66469726 10.77635408 1.45000004768 3.0 143.0 156.300003052 1486222718.15 ute gar 
bla 59.66466 10.77637583 1.45000004768 3.0 143.0 170.800003052 1486222721.14 ute gar 
bla 59.66462391 10.77640495 1.47000002861 3.0 143.0 161.600006104 1486222724.15 ute gar 
bla 59.6645844 10.77643099 1.44000005722 3.0 143.0 157.899993896 1486222727.18 ute gar 
bla 59.66454915 10.77645819 1.37000000477 3.0 143.0 160.600006104 1486222730.15 ute gar 
bla 59.66451253 10.77648928 1.39999997616 3.0 142.0 159.600006104 1486222733.1 ute gar 
bla 59.66446614 10.77652062 1.40999996662 3.0 142.0 163.100006104 1486222737.23 ute gar 
bla 59.66442842 10.77654497 1.38999998569 3.0 143.0 163.0 1486222740.13 ute gar 
bla 59.66438639 10.77657268 1.33000004292 3.0 143.0 178.800003052 1486222744.2 ute gar 
bla 59.66434876 10.77659995 1.38999998569 3.0 143.0 153.5 1486222747.12 ute gar 
bla 59.66431252 10.77662962 1.35000002384 3.0 144.0 159.100006104 1486222750.12 ute gar 
bla 59.66427403 10.77665928 1.33000004292 3.0 144.0 160.100006104 1486222753.21 ute gar 
bla 59.66423424 10.77668887 1.28999996185 3.0 144.0 150.899993896 1486222757.14 ute gar 
bla 59.66420586 10.77673619 1.23000001907 3.0 144.0 145.100006104 1486222760.19 ute gar 
bla 59.66417175 10.77677027 1.34000003338 3.0 143.0 165.600006104 1486222763.26 ute gar 
bla 59.66412401 10.77678091 1.24000000954 3.0 143.0 165.399993896 1486222767.16 ute gar 
bla 59.6640854 10.77678047 1.29999995232 3.0 143.0 178.800003052 1486222770.16 ute gar 
bla 59.66403736 10.77678534 1.44000005722 3.0 145.0 177.300003052 1486222777.76 ute gar 
bla 59.66400338 10.77673942 1.35000002384 3.0 143.0 200.600006104 1486222777.9 ute gar 
bla 59.66396636 10.77668181 1.29999995232 3.0 142.0 213.399993896 1486222781.32 ute gar 
bla 59.66392892 10.77662543 1.25999999046 3.0 142.0 210.300003052 1486222785.14 ute gar 
bla 59.66389594 10.77659235 1.17999994755 4.0 142.0 202.899993896 1486222788.2 ute gar 
bla 59.66386049 10.77656086 0.430000007153 3.0 143.0 198.899993896 1486222793.15 ute star 
bla 59.66385457 10.77647356 1.22000002861 3.0 141.0 248.100006104 1486222810.16 ute star 
bla 59.66383484 10.77640169 1.21000003815 3.0 140.0 247.399993896 1486222814.14 ute star 
bla 59.66382199 10.77632098 1.16999995708 4.0 140.0 267.0 1486222818.17 ute star 
bla 59.66381083 10.77623349 1.60000002384 3.0 139.0 264.299987793 1486222821.15 ute star 
bla 59.663826 10.77630037 1.73000001907 3.0 140.0 58.7999992371 1486222826.18 ute star 
bla 59.6638499 10.77640197 2.80999994278 3.0 140.0 63.4000015259 1486222829.15 ute gar 
bla 59.66387866 10.77645284 4.03999996185 3.0 139.0 41.9000015259 1486222830.17 ute gar 
bla 59.66390664 10.77651478 4.26000022888 4.0 139.0 47.5 1486222831.19 ute gar 
bla 59.66396633 10.77660389 4.28999996185 4.0 140.0 39.2999992371 1486222833.24 ute gar 
bla 59.66402603 10.77665315 3.17000007629 4.0 141.0 24.1000003815 1486222835.21 ute gar 
bla 59.6640629 10.77669083 3.81999993324 4.0 140.0 23.7000007629 1486222836.13 ute gar 
bla 59.66410308 10.77671451 1.49000000954 4.0 139.0 16.3999996185 1486222839.11 ute gar 
