LAT;LON;SPEED;ACCURACY;ALTITUDE;HEADING;TIME;ACTIVITY
59.66550801;10.77625199;1.37999999523;14.0;141.0;208.899993896;1486135396.13;Unknown
59.66556178;10.77608623;0.649999976158;11.0;134.0;208.899993896;1486135397.21;Unknown
59.66552048;10.77610529;1.77999997139;10.0;132.0;208.899993896;1486135399.16;Unknown
59.66551753;10.77619375;0.0;4.0;145.0;0.0;1486135404.22;Unknown
59.66555671;10.7761858;0.0;3.0;148.0;0.0;1486135412.15;Unknown
59.66545995;10.77593373;3.05999994278;15.0;145.0;252.199996948;1486135490.31;tf
59.66543171;10.77586052;2.98000001907;16.0;144.0;255.699996948;1486135491.13;tf
59.66529972;10.77581144;2.6099998951;17.0;144.0;233.199996948;1486135504.08;tf
59.66521117;10.77602762;2.48000001907;15.0;140.0;207.899993896;1486135504.19;tf
59.66513323;10.77595329;2.48000001907;11.0;138.0;218.899993896;1486135504.31;tf
59.66509798;10.77603691;1.66999995708;6.0;138.0;218.899993896;1486135504.62;tf
59.66515097;10.77608967;0.75;4.0;135.0;166.899993896;1486135504.85;tf
59.66511865;10.77615507;1.01999998093;3.0;137.0;125.599998474;1486135519.64;tf
59.66512957;10.77622422;1.20000004768;3.0;138.0;90.4000015259;1486135520.16;gar
59.66513651;10.77629745;1.29999995232;3.0;139.0;86.0999984741;1486135520.52;gar
59.66514574;10.77637015;1.30999994278;3.0;138.0;85.0999984741;1486135520.9;gar
59.66514363;10.77646168;1.26999998093;3.0;139.0;92.5999984741;1486135523.14;gar
59.66514714;10.7765385;1.30999994278;3.0;139.0;84.9000015259;1486135526.18;gar
59.66515811;10.77662787;1.33000004292;3.0;139.0;86.1999969482;1486135530.15;gar
59.66515587;10.77670234;1.19000005722;3.0;140.0;98.4000015259;1486135533.31;gar
59.66515546;10.77679414;1.25999999046;3.0;140.0;91.9000015259;1486135537.1;gar
59.66515113;10.77686738;1.38999998569;3.0;140.0;84.8000030518;1486135540.15;gar
